ID,latitude,longitude,fecha,hora,presencia_policia,civiles_muertos,policias_muertos,varones_muertos,mujeres_muertas,cerca_escuelas,motivo_principal.y,direccion,localidad,bairro,region
32841,-22.9216218,-43.6634616,01/01/2020,01:42:00,0,0,0,NA,NA,Não,NA,"Antares, Santa Cruz, Rio de Janeiro - RJ, 23510-360, Brasil",Santa Cruz,Santa Cruz,SANTA CRUZ
32852,-22.8420386,-43.2888077,01/01/2020,16:30:00,0,0,0,NA,NA,Não,NA,"Morro da Caixa D'água - Penha, Rio de Janeiro - RJ, 21070-000, Brasil",Penha,Penha,PENHA
32853,-22.8627778,-43.3152778,01/01/2020,18:14:00,0,0,0,NA,NA,Não,NA,"Morro do Juramento - Vicente de Carvalho, Rio de Janeiro - RJ, 21370, Brasil",Vicente de Carvalho,Madureira,IRAJA
32854,-22.845983,-43.2832516,01/01/2020,18:12:00,0,0,0,NA,NA,Não,NA,"Complexo da Penha - Penha, Rio de Janeiro - RJ, 21070-390, Brasil",Penha,Penha,PENHA
32855,-22.8460549,-43.3462394,01/01/2020,21:00:00,0,0,0,NA,NA,Não,NA,"R. Arabori - Rocha Miranda, Rio de Janeiro - RJ, 21545, Brasil",Rocha Miranda,Madureira,MADUREIRA
32856,-22.9042245,-43.5979835,02/01/2020,01:26:00,0,0,0,NA,NA,Não,NA,"Estr. Santa Bertília, 710 - Inhoaíba, Rio de Janeiro - RJ, 23062-100, Brasil",Inhoaíba,Campo Grande,CAMPO GRANDE
32867,-22.8440802,-43.3094623,02/01/2020,19:50:00,0,0,0,NA,NA,Não,NA,"Vila da Penha, Rio de Janeiro - RJ, Brasil",Vila da Penha,Madureira,IRAJA
32868,-22.9671077,-43.1861717,01/01/2020,00:01:00,0,0,0,NA,NA,Não,Tiros a esmo,"Rua Tonelero - Copacabana, Rio de Janeiro - RJ, Brasil",Copacabana,Zona Sul,COPACABANA
32875,-22.8604006,-43.4884116,02/01/2020,23:00:00,1,1,0,1,NA,Não,Operação Policial,"Vila Kennedy, Rio de Janeiro - RJ, 21850-007, Brasil",Vila Kennedy,Bangu,BANGU
32881,-22.9465479,-43.3697197,03/01/2020,23:49:00,0,0,0,NA,NA,Não,NA,"13, Cidade de Deus, Rio de Janeiro - RJ, Brasil",Cidade de Deus,Jacarepaguá,CIDADE DE DEUS
32883,-22.9395041,-43.2515359,04/01/2020,00:22:00,1,0,0,NA,NA,Não,NA,"Morro do Borel, Tijuca, Rio de Janeiro - RJ, 20530-420, Brasil",Tijuca,Tijuca,TIJUCA
32888,-22.9466606,-43.194275,04/01/2020,07:01:00,0,0,0,NA,NA,Não,NA,"Morro Santa Marta - Botafogo, Rio de Janeiro - RJ, 22260-126, Brasil",Botafogo,Zona Sul,BOTAFOGO
32889,-22.8196808,-43.315413,04/01/2020,03:40:00,0,1,0,1,NA,Não,Tentativa/Roubo de cargas,"Rodovia Presidente Dutra - Vigário Geral, Rio de Janeiro - RJ, Brasil",Vigário Geral,Penha,VIGARIO GERAL
32891,-22.8385298,-43.3341193,03/01/2020,20:00:00,1,1,0,1,NA,Não,Ação policial,"Para Pedro, Colégio, Rio de Janeiro - RJ, 21235-280, Brasil",Colégio,Madureira,IRAJA
32892,-22.8581095,-43.4875308,04/01/2020,08:38:00,0,0,0,NA,NA,Não,NA,"Vila kennedy, Rio de Janeiro - RJ, 21850-430, Brasil",Vila Kennedy,Bangu,BANGU
32894,-22.8229118,-43.3767869,04/01/2020,10:39:00,0,0,0,NA,NA,Não,NA,"Complexo do Chapadão - Costa Barros, Rio de Janeiro - RJ, 21755-470, Brasil",Costa Barros,Pavuna,PAVUNA
